market,model,seed,IC,ICIR,RankIC,RankICIR,AR,STD,MDD,Sharpe,Sortino,Calmar,num_test_days,pred_path_or_ckpt_path
csi300,XGBoost,0,0.013824771052863559,0.09288673760557126,0.026849410674567604,0.18096072070850344,0.058041353688927044,0.18133997226474888,-0.2443843642819039,0.3111251128481247,0.4598464577572171,0.2375002748619989,727,mlruns/csi300/386898696808728762/e61c92af555842289652aa2d053adf61/artifacts/pred.pkl
csi300,XGBoost,1,0.012669887894478796,0.08755846637936392,0.025005589279056488,0.1733663879153871,0.0700538933957986,0.1850022895208345,-0.24215074271118253,0.36599014552955794,0.5497776857520736,0.28929869308455153,727,mlruns/csi300/369164053112197960/8d22de9da2fe4ee691a52437428b80a1/artifacts/pred.pkl
csi300,XGBoost,2,0.014429258375085923,0.09944107107437498,0.027103912331421537,0.18501549661720706,0.07679780279557269,0.1791378080630327,-0.25725866734543235,0.41304312144846644,0.6201565560411799,0.2985236749767228,727,mlruns/csi300/805759244434806580/ed36d5aa52994d52ad03133ef7e802a6/artifacts/pred.pkl
csi300,XGBoost,3,0.013354221728837788,0.09019031573599516,0.02638764137288101,0.17969835665082934,0.10322567684218642,0.1794596661496924,-0.2037660788821195,0.5474117065348508,0.8172946784963354,0.5065891114384323,727,mlruns/csi300/554187902209821775/da6cd0c8098d4d5d8618e8a3fe31ddaa/artifacts/pred.pkl
csi300,XGBoost,4,0.013773370984013227,0.09482861731471555,0.026225201532450355,0.17925853513211945,0.07301992331537588,0.17164961444750113,-0.21307005120898193,0.4105865985456284,0.6041383699630078,0.34270383332173215,727,mlruns/csi300/776623315720015049/f0a991af02454ec8a85d840e736319af/artifacts/pred.pkl
csi300,GRU,0,0.015388134275022225,0.08047500521190862,0.03797664354340568,0.1944758178933663,0.04270929373243737,0.15399339979368248,-0.2573480608399896,0.2715857690720851,0.3941115548600924,0.1659592599727906,727,mlruns/csi300/500412724035905911/131d044adaad4a0eb2399fd0f7a22eb2/artifacts/pred.pkl
csi300,GRU,1,0.022396989199274905,0.11875344924819477,0.04757370602977958,0.24695691785126403,0.08252177803755867,0.1524410338890043,-0.1994889803594646,0.5201571843797202,0.7865618672654536,0.4136658470500999,727,mlruns/csi300/594411077791934790/8d4ee504e1224e6b92ffc2e50652db08/artifacts/pred.pkl
csi300,GRU,2,0.009092008790717716,0.050212491672601375,0.028312000238878268,0.15294142628162724,-0.007722950486056979,0.16243046965574845,-0.31196496300006205,-0.04773074240279648,-0.06833202685735379,-0.024755826461369132,727,mlruns/csi300/193471650977740862/6b8e1e810b5c422e8fe7e1bb53337b03/artifacts/pred.pkl
csi300,GRU,3,0.009878852272596736,0.056922885662304565,0.028241318756971674,0.15822066690293785,0.01913514409483219,0.16449672429421586,-0.26882625797636006,0.11522642631624158,0.167619145589803,0.07118033870231118,727,mlruns/csi300/251308294358390557/c7f002d5eeaa4babbc29a353d9744082/artifacts/pred.pkl
csi300,GRU,4,0.0193537336335455,0.12122379632161465,0.036749418548354035,0.2262581276528943,0.08379950073531695,0.17391881802705064,-0.19472429859418594,0.46270394659642583,0.6969250095380769,0.4303494804721768,727,mlruns/csi300/292472243900256999/b59c563b14b843e28af9306b38f8500a/artifacts/pred.pkl
csi300,TCN,0,0.0030811477298357108,0.03025056941266403,0.0016407505004731782,0.013248160935778639,0.03444094130101116,0.15756907985553117,-0.22507470695976217,0.21489703107143107,0.3099124925416404,0.1530200428392354,727,mlruns/csi300/549695020107570634/f1102f2a5fa04fceac6d04c73dfa5a9f/artifacts/pred.pkl
csi300,TCN,1,0.0020344132034439905,0.01967861050648938,0.0009380078880526286,0.007383416032827081,0.009845212642595413,0.15812056176667783,-0.22861650439804115,0.061959457958383236,0.08785922393718569,0.04306431273856784,727,mlruns/csi300/676188633303315780/4d104bd343564ef2b1543d9b2740d6f8/artifacts/pred.pkl
csi300,TCN,2,0.0031735568348197373,0.029764209950600376,0.0014042104136297697,0.011224278340460001,0.034636079510994344,0.16148644871692705,-0.21705180227354004,0.21085206318013297,0.30252758022797704,0.1595751758252813,727,mlruns/csi300/332150010556427670/e73e421823b941448625c711fe547ad1/artifacts/pred.pkl
csi300,TCN,3,0.0020539216431149972,0.020936654068524924,7.458788478659866e-06,5.8972310006061705e-05,-0.059216187570853895,0.16276809507928014,-0.2986604085893313,-0.375023791564148,-0.537288051908233,-0.19827263965301228,727,mlruns/csi300/445352229104041069/5a159c25ce8a40cb92f24429abc959cc/artifacts/pred.pkl
csi300,TCN,4,0.0026800039725375117,0.025508375734416472,0.0010386203858130032,0.008244189322659901,0.014297486455077113,0.16501082419529586,-0.24916594761005517,0.0860321821795277,0.12475106205702505,0.05738138213594374,727,mlruns/csi300/507472544358249637/3a16ac3343cc4563bbf15712915c87d1/artifacts/pred.pkl
csi300,Transformer,0,0.015078038649070308,0.09569216955124041,0.030163943178702034,0.18966081911663382,0.10530700712195262,0.1699970332737782,-0.23866474461694165,0.5889698717219174,0.898802461775138,0.4412340301495766,727,mlruns/csi300/716864395414945516/c819bc0d4de04b3d9eb4358592b87c41/artifacts/pred.pkl
