market,model,ensemble_method,IC,ICIR,RankIC,RankICIR,AR,STD,MDD,Sharpe,Sortino,Calmar,num_test_days,seeds,pred_paths
csi300,XGBoost,avg_none,0.014260580478871989,0.09408679065671377,0.027578824515009998,0.18179440423066892,0.0924940329022732,0.18139167572326367,-0.20977193323157406,0.48769154232471223,0.726395105339504,0.4409266362634225,727,"0,1,2,3,4",mlruns/csi300/386898696808728762/e61c92af555842289652aa2d053adf61/artifacts/pred.pkl;mlruns/csi300/369164053112197960/8d22de9da2fe4ee691a52437428b80a1/artifacts/pred.pkl;mlruns/csi300/805759244434806580/ed36d5aa52994d52ad03133ef7e802a6/artifacts/pred.pkl;mlruns/csi300/554187902209821775/da6cd0c8098d4d5d8618e8a3fe31ddaa/artifacts/pred.pkl;mlruns/csi300/776623315720015049/f0a991af02454ec8a85d840e736319af/artifacts/pred.pkl
csi300,GRU,avg_none,0.01724040969948125,0.0933972237620593,0.03962773319169891,0.2100609460083704,0.05002316530379303,0.15477913385944503,-0.20402733176896326,0.3153669677753871,0.46403897831602847,0.24517874575960405,727,"0,1,2,3,4",mlruns/csi300/500412724035905911/131d044adaad4a0eb2399fd0f7a22eb2/artifacts/pred.pkl;mlruns/csi300/594411077791934790/8d4ee504e1224e6b92ffc2e50652db08/artifacts/pred.pkl;mlruns/csi300/193471650977740862/6b8e1e810b5c422e8fe7e1bb53337b03/artifacts/pred.pkl;mlruns/csi300/251308294358390557/c7f002d5eeaa4babbc29a353d9744082/artifacts/pred.pkl;mlruns/csi300/292472243900256999/b59c563b14b843e28af9306b38f8500a/artifacts/pred.pkl
csi300,TCN,avg_none,0.002613089555922985,0.02540956684229346,0.001202683825823733,0.009555143665850903,0.03318376630953157,0.159053015761066,-0.22200509083696607,0.20524647023831202,0.2972944848332333,0.14947299714807324,727,"0,1,2,3,4",mlruns/csi300/549695020107570634/f1102f2a5fa04fceac6d04c73dfa5a9f/artifacts/pred.pkl;mlruns/csi300/676188633303315780/4d104bd343564ef2b1543d9b2740d6f8/artifacts/pred.pkl;mlruns/csi300/332150010556427670/e73e421823b941448625c711fe547ad1/artifacts/pred.pkl;mlruns/csi300/445352229104041069/5a159c25ce8a40cb92f24429abc959cc/artifacts/pred.pkl;mlruns/csi300/507472544358249637/3a16ac3343cc4563bbf15712915c87d1/artifacts/pred.pkl
csi300,Transformer,avg_none,0.016794708894909482,0.0961505428044804,0.03529885907402703,0.2001724721045188,0.03827484234205625,0.15535953037145978,-0.268083683440715,0.24176521570340015,0.35617529882585,0.14277199511293825,727,"0,1,2,3,4",mlruns/csi300/716864395414945516/c819bc0d4de04b3d9eb4358592b87c41/artifacts/pred.pkl;mlruns/csi300/191515890957770920/935ccc60ea064ce6b2ff5946cc1afa23/artifacts/pred.pkl;mlruns/csi300/246748931090673472/ebb23ac35cf94c71bbb5b127908f92f2/artifacts/pred.pkl;mlruns/csi300/320854076499837530/aa6ecc83027541a5ac6e74eac79940fb/artifacts/pred.pkl;mlruns/csi300/436198184328804683/dfe51f39bc0142ae878abc6b18510401/artifacts/pred.pkl
sp500,XGBoost,avg_none,0.0032587819587066537,0.032278819700289174,0.004874687074447782,0.04827801151591004,0.04866918711798651,0.18212664031128062,-0.2269277994644855,0.26092788713246495,0.37034420755606984,0.21446992053348363,752,"0,1,2,3,4",mlruns/sp500/799217228583817759/c8bb147bf67545269548007c0a3e51dd/artifacts/pred.pkl;mlruns/sp500/679229388589451384/1bed78d6dc7a496abb9af5a5eb27b691/artifacts/pred.pkl;mlruns/sp500/968796181084855568/c31c480298bd45f697f499c031f94a28/artifacts/pred.pkl;mlruns/sp500/346217907481499282/9076741ac02043ccb31ffcbdc90b5bb8/artifacts/pred.pkl;mlruns/sp500/167284701501115690/8152415764714203a3befd9cc6b9908e/artifacts/pred.pkl
sp500,GRU,avg_none,0.0036913587911510722,0.02854537500486764,0.0064144266465897,0.047936462912632115,0.08437977732028101,0.19641683367500853,-0.23900984367863787,0.4124299746903175,0.6054657074337363,0.3530389209983098,752,"0,1,2,3,4",mlruns/sp500/909417194789835038/38d8f0b11fc0407f93203e45cb643d58/artifacts/pred.pkl;mlruns/sp500/466629545652841036/44194ee88ac044c7b44fb55f354e7f70/artifacts/pred.pkl;mlruns/sp500/907080406113612152/f07b57e8185947449cb5dcd9c1fb5777/artifacts/pred.pkl;mlruns/sp500/772849314932359793/ae4cbe74fd5e48eb847801917c9ba1d8/artifacts/pred.pkl;mlruns/sp500/154860692521379722/97722403de614bf69781cd59a109b815/artifacts/pred.pkl
sp500,TCN,avg_none,-0.0012912224133497484,-0.014460381222384175,-0.0013691975816798034,-0.012706079870203371,0.0024357972119182225,0.13429358035319142,-0.17827558590790082,0.018115798685166953,0.02521258511871543,0.013663100303462655,752,"0,1,2,3,4",mlruns/sp500/304130968025583655/4852355041cc4bb6b9d2792ced808bb9/artifacts/pred.pkl;mlruns/sp500/577868212238118297/296e0b16190245c3a10f76d70a04713f/artifacts/pred.pkl;mlruns/sp500/987826595308903301/2d21d308bd6f4a47886a0d3a6f1e6342/artifacts/pred.pkl;mlruns/sp500/330520445514805443/f400cff045fe4a9189bed1ed3e13dc50/artifacts/pred.pkl;mlruns/sp500/786726817509306784/6d66ba459f5a4e2a90c1a62b85bf27f2/artifacts/pred.pkl
sp500,Transformer,avg_none,0.0037415126546772428,0.028212236917395016,0.007283754477725077,0.05084478069605743,0.010108423412672929,0.17085797969981795,-0.22643296891366282,0.058865702513786464,0.07965085783196879,0.04464201242941435,752,"0,1,2,3,4",mlruns/sp500/164560864895012902/72c78d1fd513419a9e5ecbfea093e990/artifacts/pred.pkl;mlruns/sp500/910495288411801039/1793f31cade84335a4ab44eb50e31eb0/artifacts/pred.pkl;mlruns/sp500/764986604365169880/1d9b61be019b4f6ba214938a774e0ad7/artifacts/pred.pkl;mlruns/sp500/518073768260386199/338ef41b4f4f494e84e6a177ffab7fe8/artifacts/pred.pkl;mlruns/sp500/863879639151835558/a2603fa5e46843c093baca137d0b9532/artifacts/pred.pkl
