market,model,seed,IC,ICIR,RankIC,RankICIR,AnnReturn_Gross,AnnReturn_Net,AnnExcess_Gross,AnnExcess_Net,Sharpe,MaxDrawdown,BenchReturn,Turnover
csi300,GRU,0,0.015388134275022225,0.08047500521190862,0.03797664354340568,0.1944758178933663,0.1289983073732338,0.05068966594478338,0.05676217429234075,-0.02154646713610969,-0.25643340839195494,-0.12679628374593088,0.07223613560199738,0.3295503998529989
csi300,GRU,1,0.022396989199274905,0.11875344924819477,0.04757370602977958,0.24695691785126403,0.16355310578890678,0.08588220600000164,0.0913169727080137,0.013646072919108547,0.16433605149216945,-0.1822743238707352,0.07223613560199738,0.3268675542896441
csi300,GRU,2,0.009092008790717716,0.050212491672601375,0.028312000238878268,0.15294142628162724,0.08349527163535668,0.005119678109030815,0.011259138554463618,-0.06711645497186228,-0.7687186004095977,-0.2179289616131787,0.07223613560199738,0.32982692446208917
csi300,GRU,3,0.009878852272596736,0.056922885662304565,0.028241318756971674,0.15822066690293785,0.10918669392388367,0.03066821146753406,0.03695056084299057,-0.04156792161335903,-0.5223457127273896,-0.1992771824586778,0.07223613560199738,0.3304291279260327
csi300,GRU,4,0.0193537336335455,0.12122379632161465,0.036749418548354035,0.2262581276528943,0.16782117565630342,0.09030477639726275,0.09558504257541033,0.018068643316369655,0.2342368999188801,-0.18159044349821035,0.07223613560199738,0.3262293781437753
csi300,TCN,0,0.0030811477298357108,0.03025056941266403,0.0016407505004731782,0.013248160935778639,0.09447009751389665,0.0436928370525317,0.02223396443300355,-0.028543296028361375,-0.3348161919796574,-0.2663759556776274,0.07223613560199738,0.21392991486737212
csi300,TCN,1,0.0020344132034439905,0.01967861050648938,0.0009380078880526286,0.007383416032827081,0.0784081374425052,0.021035754239259522,0.006172004361612108,-0.051200378841633545,-0.5880823511559077,-0.2909869235011995,0.07223613560199738,0.24162501659329175
csi300,TCN,2,0.0031735568348197373,0.029764209950600376,0.0014042104136297697,0.011224278340460001,0.09249678330581657,0.04445658046075918,0.020260650224923477,-0.027779552620133912,-0.3306988323426042,-0.25504049166357456,0.07223613560199738,0.20243510807564327
csi300,TCN,3,0.0020539216431149972,0.020936654068524924,7.458788478659866e-06,5.8972310006061705e-05,0.02447989829945884,-0.04514345021545058,-0.04775623478143422,-0.11737958329634368,-1.2992848798400987,-0.3616177930908105,0.07223613560199738,0.29306815389120966
csi300,TCN,4,0.0026800039725375117,0.025508375734416472,0.0010386203858130032,0.008244189322659901,0.08951850148134989,0.026254706199668312,0.017282368400456823,-0.045981426881224766,-0.5296617734446774,-0.24412454721477864,0.07223613560199738,0.26636574659366474
csi300,Transformer,0,0.015078038649070308,0.09569216955124041,0.030163943178702034,0.18966081911663382,0.18692952480628702,0.10823793467206877,0.11469339172539392,0.03600180159117567,0.4914818024565695,-0.13426986982847008,0.07223613560199738,0.3311468663590859
csi300,Transformer,1,0.013344501200646895,0.08278195180210962,0.0301044329637148,0.18835614947053206,0.18370608995469354,0.10570768118254958,0.11146995687380047,0.03347154810165654,0.43547591399604063,-0.1181027906995413,0.07223613560199738,0.32824496621337096
csi300,Transformer,2,0.019727587007388993,0.12612535066020444,0.03533916326913843,0.22012055134726613,0.146955142246803,0.06887172795238962,0.07471900916590996,-0.003364405128503444,-0.04424178924591574,-0.11573156037986221,0.07223613560199738,0.32859402736027044
csi300,Transformer,3,0.009112365075217132,0.05131835339372922,0.02915203672827684,0.1615506941893609,0.05996250405418246,-0.018725138034650306,-0.012273629026710607,-0.09096127111554338,-1.0240165052413623,-0.27483781604894947,0.07223613560199738,0.331135571074257
csi300,Transformer,4,0.013898149828414958,0.0808192541182229,0.028931136014794995,0.17211478670803682,0.09498517050213634,0.016550860090419495,0.022749037421243255,-0.055685272990473565,-0.6645604392801904,-0.20419736559370075,0.07223613560199738,0.33006885369482913
csi300,XGBoost,0,0.013824771052863559,0.09288673760557126,0.026849410674567604,0.18096072070850344,0.14682781490917188,0.06881972280516681,0.07459168182827879,-0.003416410275726247,-0.04192402941360063,-0.14956435811780194,0.07223613560199738,0.32828828939928517
csi300,XGBoost,1,0.012669887894478796,0.08755846637936392,0.025005589279056488,0.1733663879153871,0.15859618231148748,0.08014013658009721,0.08636004923059439,0.00790400349920414,0.09933349862406271,-0.1533228644628563,0.07223613560199738,0.33016766418092713
csi300,XGBoost,2,0.014429258375085923,0.09944107107437498,0.027103912331421537,0.18501549661720706,0.16361416152944047,0.08506011453460859,0.09137802844854735,0.012823981453715504,0.15789831665051487,-0.11842618389081315,0.07223613560199738,0.33057432894011196
csi300,XGBoost,3,0.013354221728837788,0.09019031573599516,0.02638764137288101,0.17969835665082934,0.18625609536391433,0.10801630092866459,0.11401996228302126,0.035780167847771494,0.4471226039303607,-0.11114660835950779,0.07223613560199738,0.3292544999176458
csi300,XGBoost,4,0.013773370984013227,0.09482861731471555,0.026225201532450355,0.17925853513211945,0.15864440678703023,0.08048075869569253,0.08640827370613711,0.008244625614799465,0.10672415727853087,-0.14432028378521258,0.07223613560199738,0.3289400692759025
sp500,GRU,0,0.007184358184389101,0.055471701032710895,0.009277883405050936,0.06753676861147923,0.1755352871201533,0.09628318392837669,-0.017753315131802536,-0.09700541832357912,-0.792033858422056,-0.35947480099502876,0.19328859448432922,0.33348288337697357
sp500,GRU,1,0.004807216616834134,0.039054329629917776,0.005843053937973271,0.04690025464180245,0.1689706091630272,0.08961031215450817,-0.024317993088928617,-0.10367829009744763,-0.7975720278658504,-0.39571899305924335,0.19328859448432922,0.33393738862675537
sp500,GRU,2,-0.0004585773344297872,-0.0034095852342451516,0.002927030834131748,0.02093423490582438,0.12087207096265437,0.042240847826479994,-0.07241653128930141,-0.15104775442547583,-1.6605166748754014,-0.49027452333518523,0.19328859448432922,0.33087719969384766
sp500,GRU,3,0.00036382682966195755,0.002819235558586143,0.002977462214040327,0.02227686400931329,0.15178294979481805,0.07305927137950875,-0.041505652457137804,-0.12022933087244711,-1.3370507736425612,-0.3951142855803129,0.19328859448432922,0.33126465173172137
